trial,start_time,rt,correct,fact_id,question,answer,song,alpha
1,4832.577900029719,1970.2880000695586,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.3
2,8579.357400070876,1564.9601998738945,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.3
3,11941.073900088668,1269.4180998951197,True,18,What is the name of the composer?,mozart,.\music\mozart_Andente.ogg,0.3
4,15606.063700048253,1707.4782999698073,True,18,What is the name of the composer?,mozart,.\music\mozart_Andente.ogg,0.3
5,19794.914100086316,1563.5790000669658,True,10,What is the name of the composer?,beethoven,.\music\beethoven_presto.ogg,0.3
6,24371.833800105378,3239.1562999691814,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.3
7,29615.3565000277,2187.730200123042,True,10,What is the name of the composer?,beethoven,.\music\beethoven_presto.ogg,0.3
8,35689.02779999189,3756.2595000490546,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.3
9,41492.19619994983,2509.7183000762016,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.3
10,46921.8842999544,3655.80500010401,True,19,What is the name of the composer?,mozart,.\music\mozart_fantasy.ogg,0.3
11,53113.47860004753,5702.599399955943,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.3
12,61547.954299952835,3974.8194999992847,True,19,What is the name of the composer?,mozart,.\music\mozart_fantasy.ogg,0.3
13,68343.72110012919,4098.249200033024,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.349609375
14,74182.34420008957,1476.9331999123096,True,18,What is the name of the composer?,mozart,.\music\mozart_Andente.ogg,0.250390625
15,78069.99370013364,3023.3662000391632,True,10,What is the name of the composer?,beethoven,.\music\beethoven_presto.ogg,0.349609375
16,84223.70510012843,3477.8666999191046,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.349609375
17,89529.84210010618,2609.036299865693,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.3
18,95077.1306999959,9153.803100110963,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.3
19,106278.10170012526,4557.119200006127,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.3
20,113706.25889999792,4683.002700097859,True,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.3
21,120115.06860004738,inf,False,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.39921874999999996
22,126560.42540003546,4924.008900066838,False,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.349609375
23,133942.68269999884,3251.1603001039475,True,19,What is the name of the composer?,mozart,.\music\mozart_fantasy.ogg,0.344140625
24,139564.96270000935,2031.5684999804944,True,10,What is the name of the composer?,beethoven,.\music\beethoven_presto.ogg,0.30000000000000004
25,144455.6766001042,7046.480400022119,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.39921874999999996
26,153454.74850013852,2787.466999841854,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.416015625
27,157939.98840008862,6821.74040004611,False,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.349609375
28,166563.60830017366,3733.379199868068,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.39921874999999996
29,172855.9091000352,inf,False,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.349609375
30,180656.1603001319,3177.2524998523295,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.4488281249999999
31,186982.3809999507,6173.1522001791745,True,19,What is the name of the composer?,mozart,.\music\mozart_fantasy.ogg,0.39374999999999993
32,195702.40520010702,4322.7804999332875,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.41640625
33,201744.18839998543,3710.34980006516,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.44999999999999996
34,207244.84920012765,3041.6914999950677,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.43476562499999993
35,212701.9609999843,3463.802000042051,False,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.39921874999999996
36,217902.35140011646,5670.273500028998,False,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.39921874999999996
37,226298.18459996022,2173.161700135097,True,19,What is the name of the composer?,mozart,.\music\mozart_fantasy.ogg,0.344140625
38,230805.10550015606,2770.168899791315,True,21,What is the name of the composer?,vivaldi,.\music\vivaldi_Allegro.ogg,0.3
39,236094.2085001152,3127.2493000142276,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.4351562499999999
40,241664.2222001683,6432.4825999792665,False,21,What is the name of the composer?,vivaldi,.\music\vivaldi_Allegro.ogg,0.3
41,250548.5046999529,3075.6934999953955,True,1,What is the name of the composer?,bach,.\music\bach_Air_on_the_G_String.ogg,0.451171875
42,255644.3165000528,6101.4785000588745,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.4488281249999999
43,264659.73339998163,inf,False,5,What is the name of the composer?,bach,.\music\bach_Sheep_may_safely_graze.ogg,0.43867187499999993
44,270368.14830009826,3620.6694999709725,True,4,What is the name of the composer?,bach,.\music\bach_No._5_in_F_Minor_BWV_1056_II._Largo.ogg,0.45195312499999996
45,275672.8541001212,2943.9361998811364,True,7,What is the name of the composer?,beethoven,.\music\beethoven_emperor.ogg,0.45781249999999996
46,281501.11189996824,4175.466899992898,True,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.3
47,288034.7770000808,3659.4433998689055,True,17,What is the name of the composer?,mozart,.\music\mozart_Allegro_con_brio.ogg,0.4472656249999999
48,294308.9262000285,4315.660299966112,False,14,What is the name of the composer?,chopin,.\music\chopin_Fantasia_On_Polish_Airs.ogg,0.3
